akc_id	type	TRA_chain	TRB_chain
iedb_receptor:21828	AlphaBetaTCR		iedb_receptor:21828-beta
iedb_receptor:21829	AlphaBetaTCR		iedb_receptor:21829-beta
iedb_receptor:21830	AlphaBetaTCR		iedb_receptor:21830-beta
iedb_receptor:21831	AlphaBetaTCR		iedb_receptor:21831-beta
iedb_receptor:21832	AlphaBetaTCR		iedb_receptor:21832-beta
iedb_receptor:21833	AlphaBetaTCR		iedb_receptor:21833-beta
iedb_receptor:21834	AlphaBetaTCR		iedb_receptor:21834-beta
iedb_receptor:21835	AlphaBetaTCR		iedb_receptor:21835-beta
iedb_receptor:21836	AlphaBetaTCR		iedb_receptor:21836-beta
iedb_receptor:21837	AlphaBetaTCR		iedb_receptor:21837-beta
iedb_receptor:21838	AlphaBetaTCR		iedb_receptor:21838-beta
iedb_receptor:21839	AlphaBetaTCR		iedb_receptor:21839-beta
iedb_receptor:21840	AlphaBetaTCR		iedb_receptor:21840-beta
iedb_receptor:21841	AlphaBetaTCR		iedb_receptor:21841-beta
iedb_receptor:21842	AlphaBetaTCR		iedb_receptor:21842-beta
iedb_receptor:21843	AlphaBetaTCR		iedb_receptor:21843-beta
iedb_receptor:21844	AlphaBetaTCR		iedb_receptor:21844-beta
iedb_receptor:21845	AlphaBetaTCR		iedb_receptor:21845-beta
iedb_receptor:21846	AlphaBetaTCR		iedb_receptor:21846-beta
iedb_receptor:21847	AlphaBetaTCR		iedb_receptor:21847-beta
iedb_receptor:21848	AlphaBetaTCR		iedb_receptor:21848-beta
iedb_receptor:21849	AlphaBetaTCR		iedb_receptor:21849-beta
iedb_receptor:21850	AlphaBetaTCR		iedb_receptor:21850-beta
iedb_receptor:21851	AlphaBetaTCR		iedb_receptor:21851-beta
iedb_receptor:21852	AlphaBetaTCR		iedb_receptor:21852-beta
iedb_receptor:21853	AlphaBetaTCR		iedb_receptor:21853-beta
iedb_receptor:21854	AlphaBetaTCR		iedb_receptor:21854-beta
iedb_receptor:21855	AlphaBetaTCR		iedb_receptor:21855-beta
iedb_receptor:21856	AlphaBetaTCR		iedb_receptor:21856-beta
iedb_receptor:21857	AlphaBetaTCR		iedb_receptor:21857-beta
iedb_receptor:21858	AlphaBetaTCR		iedb_receptor:21858-beta
iedb_receptor:21859	AlphaBetaTCR		iedb_receptor:21859-beta
iedb_receptor:21860	AlphaBetaTCR		iedb_receptor:21860-beta
iedb_receptor:21861	AlphaBetaTCR		iedb_receptor:21861-beta
iedb_receptor:21862	AlphaBetaTCR		iedb_receptor:21862-beta
iedb_receptor:21863	AlphaBetaTCR		iedb_receptor:21863-beta
iedb_receptor:21864	AlphaBetaTCR		iedb_receptor:21864-beta
iedb_receptor:21865	AlphaBetaTCR		iedb_receptor:21865-beta
iedb_receptor:21866	AlphaBetaTCR		iedb_receptor:21866-beta
iedb_receptor:21867	AlphaBetaTCR		iedb_receptor:21867-beta
iedb_receptor:21868	AlphaBetaTCR		iedb_receptor:21868-beta
iedb_receptor:21869	AlphaBetaTCR		iedb_receptor:21869-beta
iedb_receptor:21870	AlphaBetaTCR		iedb_receptor:21870-beta
iedb_receptor:21871	AlphaBetaTCR		iedb_receptor:21871-beta
iedb_receptor:21872	AlphaBetaTCR		iedb_receptor:21872-beta
iedb_receptor:21873	AlphaBetaTCR		iedb_receptor:21873-beta
iedb_receptor:21874	AlphaBetaTCR		iedb_receptor:21874-beta
iedb_receptor:21875	AlphaBetaTCR		iedb_receptor:21875-beta
iedb_receptor:21876	AlphaBetaTCR		iedb_receptor:21876-beta
iedb_receptor:21877	AlphaBetaTCR		iedb_receptor:21877-beta
iedb_receptor:21878	AlphaBetaTCR		iedb_receptor:21878-beta
iedb_receptor:21879	AlphaBetaTCR		iedb_receptor:21879-beta
iedb_receptor:21880	AlphaBetaTCR		iedb_receptor:21880-beta
iedb_receptor:21881	AlphaBetaTCR		iedb_receptor:21881-beta
iedb_receptor:21882	AlphaBetaTCR		iedb_receptor:21882-beta
iedb_receptor:21883	AlphaBetaTCR		iedb_receptor:21883-beta
iedb_receptor:21884	AlphaBetaTCR		iedb_receptor:21884-beta
iedb_receptor:21885	AlphaBetaTCR		iedb_receptor:21885-beta
iedb_receptor:21886	AlphaBetaTCR		iedb_receptor:21886-beta
iedb_receptor:21887	AlphaBetaTCR		iedb_receptor:21887-beta
iedb_receptor:21888	AlphaBetaTCR		iedb_receptor:21888-beta
iedb_receptor:21889	AlphaBetaTCR		iedb_receptor:21889-beta
iedb_receptor:21890	AlphaBetaTCR		iedb_receptor:21890-beta
iedb_receptor:21891	AlphaBetaTCR		iedb_receptor:21891-beta
iedb_receptor:21892	AlphaBetaTCR		iedb_receptor:21892-beta
iedb_receptor:21893	AlphaBetaTCR		iedb_receptor:21893-beta
iedb_receptor:21894	AlphaBetaTCR		iedb_receptor:21894-beta
